id;first_day;last_day;value;paid
1;2021-01-06T17:28:06;2021-01-06T04:27:49;18362;true
2;2021-01-06T16:01:55;2021-01-06T09:25:44;67952;true
3;2021-01-06T08:52:27;2021-01-06T05:45:51;53078;false
4;2021-01-06T17:58:50;2021-01-06T13:30:02;19497;false
5;2021-01-05T18:28:30;2021-01-06T14:35:26;51162;false
6;2021-01-06T17:26:58;2021-01-06T09:28:02;32950;false
7;2021-01-06T16:29:06;2021-01-06T14:16:12;55621;true
8;2021-01-06T00:24:13;2021-01-06T04:20:03;30310;false
9;2021-01-06T02:53:35;2021-01-06T03:14:57;4566;true
10;2021-01-06T14:29:22;2021-01-06T16:54:07;90960;false
