id;street_address;phone_number;week_hour_start;week_hour_end;weekend_hour_start;weekend_hour_end
1;Summit Buckinghamshire Arkansas;port;38870;29099;39429;91716
2;Sao Tome and Principe Games;Legacy bandwidth grey;26939;30864;79412;74155
3;Frozen;Future;41839;61929;31543;23430
4;Streamlined;transition Savings Account;842;83572;24311;44757
5;Frozen mesh;Spurs;18840;44790;81272;25587
6;5th generation superstructure;Nuevo Sol;37375;49719;30134;71470
7;Supervisor;Lead override Checking Account;93139;26522;4351;24953
8;Cotton Technician;architect integrated transmit;15394;12872;51823;42609
9;Passage Customer multimedia;Lodge Sleek Wooden Chicken;48304;62300;40147;37884
10;Programmable;system Cambridgeshire;6095;88954;20864;42185
